시간,환경 감시_수평면,환경 감시_외기온도,환경 감시_경사면,환경 감시_모듈온도,축구장_누적발전량,축구장_시간당발전량,학생회관_누적발전량,학생회관_시간당발전량,중앙창고_누적발전량,중앙창고_시간당발전량,학사과정_누적발전량,학사과정_시간당발전량,다산빌딩_누적발전량,다산빌딩_시간당발전량,시설관리동_누적발전량,시설관리동_시간당발전량,대학C동_누적발전량,대학C동_시간당발전량,동물실험동_누적발전량,동물실험동_시간당발전량,중앙도서관_누적발전량,중앙도서관_시간당발전량,LG도서관_누적발전량,LG도서관_시간당발전량,신재생에너지동_누적발전량,신재생에너지동_시간당발전량,삼성환경동_누적발전량,삼성환경동_시간당발전량,중앙연구기기센터_누적발전량,중앙연구기기센터_시간당발전량,산업협력관_누적발전량,산업협력관_시간당발전량,기숙사 B동_누적발전량,기숙사 B동_시간당발전량,자연과학동_누적발전량,자연과학동_시간당발전량
2022-07-01 00:00:00,0.0,25.6,0.0,23.0,757191.9,0.0,231792.4,0.0,88388.9,0.0,375779.8,0.0,556066.7,0.0,344908.3,0.0,86501.1,0.0,304501.8,0.0,133989.5,0.0,179288.8,0.0,319879.3,0.0,264793.4,0.0,463451.8,0.0,297168.9,0.0,100158.8,0.0,157579.5,0.0
2022-07-01 01:00:00,0.0,25.1,0.0,22.9,757191.9,0.0,231792.4,0.0,88388.9,0.0,375779.8,0.0,556066.7,0.0,344908.3,0.0,86501.1,0.0,304501.8,0.0,133989.5,0.0,179288.8,0.0,319879.3,0.0,264793.4,0.0,463451.8,0.0,297168.9,0.0,100158.8,0.0,157579.5,0.0
2022-07-01 02:00:00,0.0,24.6,0.0,22.8,757191.9,0.0,231792.4,0.0,88388.9,0.0,375779.8,0.0,556066.7,0.0,344908.3,0.0,86501.1,0.0,304501.8,0.0,133989.5,0.0,179288.8,0.0,319879.3,0.0,264793.4,0.0,463451.8,0.0,297168.9,0.0,100158.8,0.0,157579.5,0.0
2022-07-01 03:00:00,0.0,23.9,0.0,20.8,757191.9,0.0,231792.4,0.0,88388.9,0.0,375779.8,0.0,556066.7,0.0,344908.3,0.0,86501.1,0.0,304501.8,0.0,133989.5,0.0,179288.8,0.0,319879.3,0.0,264793.4,0.0,463451.8,0.0,297168.9,0.0,100158.8,0.0,157579.5,0.0
2022-07-01 04:00:00,0.0,23.2,0.0,20.2,757191.9,0.0,231792.4,0.0,88388.9,0.0,375779.8,0.0,556066.7,0.0,344908.3,0.0,86501.1,0.0,304501.8,0.0,133989.5,0.0,179288.8,0.0,319879.3,0.0,264793.4,0.0,463451.8,0.0,297168.9,0.0,100158.8,0.0,157579.5,0.0
2022-07-01 05:00:00,0.0,22.8,0.0,20.2,757191.9,0.0,231792.4,0.0,88388.9,0.0,375779.8,0.0,556066.7,0.0,344908.3,0.0,86501.1,0.0,304501.8,0.0,133989.5,0.0,179288.8,0.0,319879.3,0.0,264793.4,0.0,463451.8,0.0,297168.9,0.0,100158.8,0.0,157579.5,0.0
2022-07-01 06:00:00,54.0,25.4,13.0,21.6,757191.9,0.0,231792.5,0.7,88388.9,0.4,375779.8,0.0,556066.7,0.1,344908.3,0.6,86501.3,0.4,304502.0,0.7,133989.5,0.0,179288.8,0.5,319879.7,1.1,264793.4,0.0,463451.8,0.4,297169.5,2.0,100159.0,0.7,157579.5,0.0
2022-07-01 07:00:00,213.0,30.7,79.0,25.6,757193.8,5.3,231795.4,5.8,88391.3,5.0,375781.3,3.2,556067.2,0.8,344909.8,3.8,86501.9,0.7,304503.2,2.1,133990.3,1.6,179289.7,1.7,319882.2,5.5,264794.3,3.0,463453.7,5.2,297172.8,6.0,100160.3,2.5,157582.1,7.2
2022-07-01 08:00:00,412.0,34.5,271.0,31.2,757211.9,33.3,231805.3,14.3,88399.0,11.2,375786.6,5.7,556069.5,5.1,344921.9,23.5,86503.5,3.0,304508.1,3.6,133994.1,6.8,179293.4,6.6,319892.9,17.2,264801.8,13.3,463467.3,24.5,297187.3,25.1,100166.5,8.0,157597.0,32.2
2022-07-01 09:00:00,751.0,36.1,610.0,40.8,757253.3,33.0,231822.6,23.7,88412.2,18.6,375796.4,10.3,556079.1,16.1,344956.5,56.0,86508.0,3.6,304521.2,9.0,134004.5,16.4,179305.7,21.1,319917.8,37.7,264822.1,32.4,463505.6,50.2,297225.4,43.3,100182.1,14.9,157642.3,77.0
2022-07-01 10:00:00,796.0,44.4,693.0,48.7,757322.9,82.8,231845.5,27.8,88427.7,18.9,375807.8,16.7,556092.6,18.6,345009.3,67.1,86513.6,8.0,304538.6,22.9,134017.6,17.9,179322.9,24.7,319947.5,40.5,264848.9,35.4,463553.7,65.8,297275.2,66.9,100201.6,28.4,157745.6,121.0
2022-07-01 11:00:00,997.0,45.8,928.0,56.0,757411.2,107.6,231872.5,32.9,88445.3,21.3,375819.3,13.5,556111.0,24.1,345076.5,85.6,86519.6,10.6,304561.6,24.7,134035.0,22.9,179346.5,32.2,319985.5,20.5,264884.4,45.7,463617.1,18.7,297339.1,18.5,100219.5,18.3,157878.1,150.2
2022-07-01 12:00:00,1037.0,46.4,1014.0,56.4,757498.7,123.4,231897.0,34.6,88462.8,21.6,375837.7,21.2,556132.4,26.6,345146.8,91.6,86528.5,10.8,304587.4,31.5,134054.8,24.4,179374.4,34.4,320029.7,54.7,264924.2,49.1,463691.5,92.3,297412.9,92.7,100251.6,38.3,157961.7,153.1
2022-07-01 13:00:00,1106.0,52.2,1122.0,63.3,757602.4,35.6,231922.9,31.8,88482.0,21.6,375855.4,21.3,556155.3,8.8,345229.9,97.3,86538.1,4.6,304613.9,9.3,134076.1,26.2,179404.0,20.9,320076.7,17.5,264965.8,13.5,463769.8,32.0,297492.1,26.1,100287.1,40.5,158069.3,169.6
2022-07-01 14:00:00,919.0,47.8,939.0,58.5,757696.3,108.1,231949.3,31.2,88498.0,18.7,375871.0,19.1,556176.7,25.7,345301.5,86.5,86546.3,10.2,304638.1,29.3,134095.6,23.0,179430.6,32.0,320118.3,50.4,265004.0,45.4,463839.5,85.7,297562.6,85.3,100316.7,35.5,158163.5,115.6
2022-07-01 15:00:00,803.0,45.2,840.0,52.1,757788.0,89.5,231975.5,28.9,88513.4,16.2,375888.5,16.9,556199.9,24.2,345374.1,81.3,86555.7,9.6,304664.6,27.0,134116.2,21.2,179459.5,29.5,320163.9,46.1,265044.8,41.8,463916.8,78.2,297639.6,79.1,100350.3,33.2,158308.1,153.5
2022-07-01 16:00:00,618.0,39.9,645.0,43.1,757857.3,58.9,231995.8,23.7,88524.6,12.1,375901.7,13.5,556218.3,20.7,345430.4,67.3,86563.1,8.2,304686.2,22.2,134132.2,17.3,179481.5,23.6,320199.1,38.1,265076.4,35.0,463976.5,64.9,297703.4,59.3,100377.0,28.1,158431.0,127.8
2022-07-01 17:00:00,431.0,44.2,445.0,48.8,757911.9,47.1,232012.8,15.8,88532.5,6.4,375912.7,9.0,556234.1,13.8,345477.3,42.6,86569.7,6.0,304704.4,16.0,134145.6,12.6,179498.6,14.6,320229.6,27.1,265103.7,24.6,464028.6,46.1,297757.0,46.2,100400.4,19.7,158506.2,28.3
