 format: day,hour,forecast,value  location:59_76 Start : 20220701 
 1,0200,+6,0.000000 
 1,0200,+7,0.000000 
 1,0200,+8,0.000000 
 1,0200,+9,0.000000 
 1,0200,+10,0.000000 
 1,0200,+11,0.000000 
 1,0200,+12,0.000000 
 1,0200,+13,0.000000 
 1,0200,+14,0.000000 
 1,0200,+15,0.000000 
 1,0200,+16,0.000000 
 1,0200,+17,0.000000 
 1,0200,+18,0.000000 
 1,0200,+19,0.000000 
 1,0200,+20,0.000000 
 1,0200,+21,0.000000 
 1,0200,+22,0.000000 
 1,0200,+23,0.000000 
 1,0200,+24,0.000000 
 1,0200,+25,0.000000 
 1,0200,+26,0.000000 
 1,0200,+27,0.000000 
 1,0200,+28,0.000000 
 1,0200,+29,0.000000 
 1,0200,+30,0.000000 
 1,0200,+31,0.000000 
 1,0200,+32,0.000000 
 1,0200,+33,0.000000 
 1,0200,+34,0.000000 
 1,0200,+35,0.000000 
 1,0200,+36,0.000000 
 1,0200,+37,0.000000 
 1,0200,+38,0.000000 
 1,0200,+39,0.000000 
 1,0200,+40,0.000000 
 1,0200,+41,0.000000 
 1,0200,+42,0.000000 
 1,0200,+43,0.000000 
 1,0200,+44,0.000000 
 1,0200,+45,0.000000 
 1,0200,+46,0.000000 
 1,0200,+47,0.000000 
 1,0200,+48,0.000000 
 1,0200,+49,0.000000 
 1,0200,+50,0.000000 
 1,0200,+51,7.000000 
 1,0200,+52,6.000000 
 1,0200,+53,0.000000 
 1,0200,+54,0.000000 
 1,0200,+55,0.000000 
 1,0200,+56,0.000000 
 1,0200,+57,0.000000 
 1,0200,+58,0.000000 
 1,0200,+59,0.000000 
 1,0200,+60,0.000000 
 1,0200,+61,0.000000 
 1,0500,+6,0.000000 
 1,0500,+7,0.000000 
 1,0500,+8,0.000000 
 1,0500,+9,0.000000 
 1,0500,+10,0.000000 
 1,0500,+11,0.000000 
 1,0500,+12,0.000000 
 1,0500,+13,0.000000 
 1,0500,+14,0.000000 
 1,0500,+15,0.000000 
 1,0500,+16,0.000000 
 1,0500,+17,0.000000 
 1,0500,+18,0.000000 
 1,0500,+19,0.000000 
 1,0500,+20,0.000000 
 1,0500,+21,0.000000 
 1,0500,+22,0.000000 
 1,0500,+23,0.000000 
 1,0500,+24,0.000000 
 1,0500,+25,0.000000 
 1,0500,+26,0.000000 
 1,0500,+27,0.000000 
 1,0500,+28,0.000000 
 1,0500,+29,0.000000 
 1,0500,+30,0.000000 
 1,0500,+31,0.000000 
 1,0500,+32,0.000000 
 1,0500,+33,0.000000 
 1,0500,+34,0.000000 
 1,0500,+35,0.000000 
 1,0500,+36,0.000000 
 1,0500,+37,0.000000 
 1,0500,+38,0.000000 
 1,0500,+39,0.000000 
 1,0500,+40,0.000000 
 1,0500,+41,0.000000 
 1,0500,+42,0.000000 
 1,0500,+43,0.000000 
 1,0500,+44,0.000000 
 1,0500,+45,0.000000 
 1,0500,+46,0.000000 
 1,0500,+47,0.000000 
 1,0500,+48,7.000000 
 1,0500,+49,6.000000 
