 format: day,hour,forecast,value  location:59_76 Start : 20230701 
 1,0200,+6,20.000000 
 1,0200,+7,30.000000 
 1,0200,+8,0.000000 
 1,0200,+9,0.000000 
 1,0200,+10,0.000000 
 1,0200,+11,0.000000 
 1,0200,+12,0.000000 
 1,0200,+13,0.000000 
 1,0200,+14,0.000000 
 1,0200,+15,0.000000 
 1,0200,+16,0.000000 
 1,0200,+17,0.000000 
 1,0200,+18,0.000000 
 1,0200,+19,0.000000 
 1,0200,+20,0.000000 
 1,0200,+21,0.000000 
 1,0200,+22,0.000000 
 1,0200,+23,0.000000 
 1,0200,+24,20.000000 
 1,0200,+25,0.000000 
 1,0200,+26,20.000000 
 1,0200,+27,20.000000 
 1,0200,+28,20.000000 
 1,0200,+29,20.000000 
 1,0200,+30,20.000000 
 1,0200,+31,20.000000 
 1,0200,+32,30.000000 
 1,0200,+33,20.000000 
 1,0200,+34,20.000000 
 1,0200,+35,0.000000 
 1,0200,+36,0.000000 
 1,0200,+37,0.000000 
 1,0200,+38,20.000000 
 1,0200,+39,20.000000 
 1,0200,+40,30.000000 
 1,0200,+41,30.000000 
 1,0200,+42,30.000000 
 1,0200,+43,30.000000 
 1,0200,+44,30.000000 
 1,0200,+45,30.000000 
 1,0200,+46,30.000000 
 1,0200,+47,30.000000 
 1,0200,+48,30.000000 
 1,0200,+49,20.000000 
 1,0200,+50,20.000000 
 1,0200,+51,20.000000 
 1,0200,+52,30.000000 
 1,0200,+53,30.000000 
 1,0200,+54,30.000000 
 1,0200,+55,30.000000 
 1,0200,+56,20.000000 
 1,0200,+57,30.000000 
 1,0200,+58,30.000000 
 1,0200,+59,30.000000 
 1,0200,+60,30.000000 
 1,0200,+61,30.000000 
 1,0500,+6,0.000000 
 1,0500,+7,0.000000 
 1,0500,+8,0.000000 
 1,0500,+9,0.000000 
 1,0500,+10,0.000000 
 1,0500,+11,0.000000 
 1,0500,+12,0.000000 
 1,0500,+13,0.000000 
 1,0500,+14,0.000000 
 1,0500,+15,0.000000 
 1,0500,+16,0.000000 
 1,0500,+17,0.000000 
 1,0500,+18,0.000000 
 1,0500,+19,0.000000 
 1,0500,+20,0.000000 
 1,0500,+21,20.000000 
 1,0500,+22,0.000000 
 1,0500,+23,20.000000 
 1,0500,+24,20.000000 
 1,0500,+25,20.000000 
 1,0500,+26,20.000000 
 1,0500,+27,20.000000 
 1,0500,+28,20.000000 
 1,0500,+29,30.000000 
 1,0500,+30,20.000000 
 1,0500,+31,20.000000 
 1,0500,+32,0.000000 
 1,0500,+33,0.000000 
 1,0500,+34,0.000000 
 1,0500,+35,20.000000 
 1,0500,+36,20.000000 
 1,0500,+37,30.000000 
 1,0500,+38,30.000000 
 1,0500,+39,30.000000 
 1,0500,+40,30.000000 
 1,0500,+41,30.000000 
 1,0500,+42,30.000000 
 1,0500,+43,30.000000 
 1,0500,+44,30.000000 
 1,0500,+45,30.000000 
 1,0500,+46,20.000000 
 1,0500,+47,20.000000 
 1,0500,+48,20.000000 
 1,0500,+49,30.000000 
 1,0500,+50,30.000000 
 1,0500,+51,30.000000 
 1,0500,+52,30.000000 
 1,0500,+53,20.000000 
 1,0500,+54,30.000000 
 1,0500,+55,30.000000 
 1,0500,+56,30.000000 
 1,0500,+57,30.000000 
 1,0500,+58,30.000000 
 1,0800,+6,20.000000 
 1,0800,+7,20.000000 
 1,0800,+8,20.000000 
 1,0800,+9,0.000000 
 1,0800,+10,0.000000 
 1,0800,+11,0.000000 
 1,0800,+12,0.000000 
 1,0800,+13,0.000000 
 1,0800,+14,0.000000 
 1,0800,+15,0.000000 
 1,0800,+16,0.000000 
 1,0800,+17,0.000000 
 1,0800,+18,20.000000 
 1,0800,+19,20.000000 
 1,0800,+20,20.000000 
 1,0800,+21,20.000000 
 1,0800,+22,20.000000 
 1,0800,+23,20.000000 
 1,0800,+24,30.000000 
 1,0800,+25,30.000000 
 1,0800,+26,20.000000 
 1,0800,+27,20.000000 
 1,0800,+28,20.000000 
 1,0800,+29,20.000000 
 1,0800,+30,20.000000 
 1,0800,+31,20.000000 
 1,0800,+32,20.000000 
 1,0800,+33,20.000000 
 1,0800,+34,20.000000 
 1,0800,+35,20.000000 
 1,0800,+36,30.000000 
 1,0800,+37,30.000000 
 1,0800,+38,30.000000 
 1,0800,+39,30.000000 
 1,0800,+40,30.000000 
 1,0800,+41,30.000000 
