 format: day,hour,forecast,value  location:59_76 Start : 20230701 
 1,0200,+6,152.000000 
 1,0200,+7,153.000000 
 1,0200,+8,161.000000 
 1,0200,+9,180.000000 
 1,0200,+10,180.000000 
 1,0200,+11,160.000000 
 1,0200,+12,129.000000 
 1,0200,+13,135.000000 
 1,0200,+14,144.000000 
 1,0200,+15,153.000000 
 1,0200,+16,124.000000 
 1,0200,+17,77.000000 
 1,0200,+18,75.000000 
 1,0200,+19,56.000000 
 1,0200,+20,63.000000 
 1,0200,+21,75.000000 
 1,0200,+22,66.000000 
 1,0200,+23,86.000000 
 1,0200,+24,126.000000 
 1,0200,+25,163.000000 
 1,0200,+26,194.000000 
 1,0200,+27,173.000000 
 1,0200,+28,168.000000 
 1,0200,+29,208.000000 
 1,0200,+30,227.000000 
 1,0200,+31,246.000000 
 1,0200,+32,241.000000 
 1,0200,+33,194.000000 
 1,0200,+34,198.000000 
 1,0200,+35,187.000000 
 1,0200,+36,143.000000 
 1,0200,+37,117.000000 
 1,0200,+38,108.000000 
 1,0200,+39,114.000000 
 1,0200,+40,100.000000 
 1,0200,+41,139.000000 
 1,0200,+42,131.000000 
 1,0200,+43,128.000000 
 1,0200,+44,135.000000 
 1,0200,+45,96.000000 
 1,0200,+46,86.000000 
 1,0200,+47,118.000000 
 1,0200,+48,126.000000 
 1,0200,+49,130.000000 
 1,0200,+50,134.000000 
 1,0200,+51,135.000000 
 1,0200,+52,137.000000 
 1,0200,+53,140.000000 
 1,0200,+54,139.000000 
 1,0200,+55,138.000000 
 1,0200,+56,142.000000 
 1,0200,+57,135.000000 
 1,0200,+58,133.000000 
 1,0200,+59,121.000000 
 1,0200,+60,132.000000 
 1,0200,+61,143.000000 
 1,0500,+6,180.000000 
 1,0500,+7,180.000000 
 1,0500,+8,160.000000 
 1,0500,+9,129.000000 
 1,0500,+10,135.000000 
 1,0500,+11,144.000000 
 1,0500,+12,153.000000 
 1,0500,+13,124.000000 
 1,0500,+14,77.000000 
 1,0500,+15,75.000000 
 1,0500,+16,56.000000 
 1,0500,+17,63.000000 
 1,0500,+18,75.000000 
 1,0500,+19,66.000000 
 1,0500,+20,86.000000 
 1,0500,+21,126.000000 
 1,0500,+22,163.000000 
 1,0500,+23,194.000000 
 1,0500,+24,173.000000 
 1,0500,+25,168.000000 
 1,0500,+26,208.000000 
 1,0500,+27,227.000000 
 1,0500,+28,246.000000 
 1,0500,+29,241.000000 
 1,0500,+30,194.000000 
 1,0500,+31,198.000000 
 1,0500,+32,187.000000 
 1,0500,+33,143.000000 
 1,0500,+34,117.000000 
 1,0500,+35,108.000000 
 1,0500,+36,114.000000 
 1,0500,+37,100.000000 
 1,0500,+38,139.000000 
 1,0500,+39,131.000000 
 1,0500,+40,128.000000 
 1,0500,+41,135.000000 
 1,0500,+42,96.000000 
 1,0500,+43,86.000000 
 1,0500,+44,118.000000 
 1,0500,+45,126.000000 
 1,0500,+46,130.000000 
 1,0500,+47,134.000000 
 1,0500,+48,135.000000 
 1,0500,+49,137.000000 
 1,0500,+50,140.000000 
 1,0500,+51,139.000000 
 1,0500,+52,138.000000 
 1,0500,+53,142.000000 
 1,0500,+54,135.000000 
 1,0500,+55,133.000000 
 1,0500,+56,121.000000 
 1,0500,+57,132.000000 
 1,0500,+58,143.000000 
 1,0800,+6,163.000000 
 1,0800,+7,139.000000 
 1,0800,+8,135.000000 
 1,0800,+9,122.000000 
 1,0800,+10,108.000000 
 1,0800,+11,90.000000 
 1,0800,+12,84.000000 
 1,0800,+13,86.000000 
 1,0800,+14,81.000000 
 1,0800,+15,68.000000 
 1,0800,+16,81.000000 
 1,0800,+17,105.000000 
 1,0800,+18,141.000000 
 1,0800,+19,173.000000 
 1,0800,+20,177.000000 
 1,0800,+21,190.000000 
 1,0800,+22,173.000000 
 1,0800,+23,187.000000 
 1,0800,+24,176.000000 
 1,0800,+25,187.000000 
 1,0800,+26,197.000000 
 1,0800,+27,207.000000 
 1,0800,+28,170.000000 
 1,0800,+29,180.000000 
 1,0800,+30,124.000000 
 1,0800,+31,151.000000 
 1,0800,+32,101.000000 
 1,0800,+33,121.000000 
 1,0800,+34,85.000000 
 1,0800,+35,110.000000 
 1,0800,+36,102.000000 
 1,0800,+37,106.000000 
 1,0800,+38,120.000000 
 1,0800,+39,142.000000 
 1,0800,+40,163.000000 
 1,0800,+41,142.000000 
 1,0800,+42,129.000000 
 1,0800,+43,146.000000 
 1,0800,+44,163.000000 
 1,0800,+45,163.000000 
 1,0800,+46,155.000000 
