시간,축구장_시간당발전량,학생회관_시간당발전량,중앙창고_시간당발전량,학사과정_시간당발전량,다산빌딩_시간당발전량,시설관리동_시간당발전량,대학C동_시간당발전량,동물실험동_시간당발전량,중앙도서관_시간당발전량,LG도서관_시간당발전량,신재생에너지동_시간당발전량,삼성환경동_시간당발전량,중앙연구기기센터_시간당발전량,산업협력관_시간당발전량,기숙사 B동_시간당발전량,자연과학동_시간당발전량,지면온도(°C),기온(°C),풍속,습도(%),남북바람성분,1시간기온,습도,풍향,동서바람성분
2022-07-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.6,2.84,99,2.62,27.2,78.0,157.8,-1.08
2022-07-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,25.1,2.92,99,2.68,28.2,73.0,155.2,-1.24
2022-07-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,25.0,3.1555555555555554,99,2.848148148148148,29.25925925925926,68.33333333333333,155.03703703703704,-1.3407407407407408
2022-07-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,24.9,3.274074074074074,99,2.9851851851851854,30.25925925925926,63.7037037037037,157.07407407407408,-1.274074074074074
2022-07-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.5,3.2185185185185183,99,2.9925925925925925,31.25925925925926,60.55555555555556,159.14814814814815,-1.1666666666666667
2022-07-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.4,3.173378839590444,99,2.939249146757679,31.805460750853243,56.70648464163823,159.2935153583618,-1.148805460750853
2022-07-01 06:00:00,0.0,0.7,0.4,0.0,0.1,0.6,0.4,0.7,0.0,0.5,1.1,0.0,0.4,2.0,0.7,0.0,24.0,24.0,2.978156996587031,99,2.7098976109215016,31.805460750853243,55.972696245733786,157.5631399317406,-1.136518771331058
2022-07-01 07:00:00,5.3,5.8,5.0,3.2,0.8,3.8,0.7,2.1,1.6,1.7,5.5,3.0,5.2,6.0,2.5,7.2,24.5,25.1,2.782935153583617,99,2.5293515358361773,31.805460750853243,55.11945392491467,156.19795221843003,-1.1389078498293514
2022-07-01 08:00:00,33.3,14.3,11.2,5.7,5.1,23.5,3.0,3.6,6.8,6.6,17.2,13.3,24.5,25.1,8.0,32.2,27.4,27.3,2.7203389830508478,88,2.452542372881356,31.491525423728813,56.77966101694916,154.67796610169492,-1.1677966101694914
2022-07-01 09:00:00,33.0,23.7,18.6,10.3,16.1,56.0,3.6,9.0,16.4,21.1,37.7,32.4,50.2,43.3,14.9,77.0,32.0,28.4,2.601694915254237,83,2.31864406779661,30.491525423728813,60.932203389830505,154.01694915254237,-1.116949152542373
2022-07-01 10:00:00,82.8,27.8,18.9,16.7,18.6,67.1,8.0,22.9,17.9,24.7,40.5,35.4,65.8,66.9,28.4,121.0,36.0,29.8,1.652542372881356,74,1.435593220338983,29.322033898305083,65.9322033898305,152.33898305084745,-0.7508474576271187
2022-07-01 11:00:00,107.6,32.9,21.3,13.5,24.1,85.6,10.6,24.7,22.9,32.2,20.5,45.7,18.7,18.5,18.3,150.2,35.1,30.1,1.5,70,1.3166666666666669,27.666666666666668,75.0,153.16666666666666,-0.6666666666666666
2022-07-01 12:00:00,123.4,34.6,21.6,21.2,26.6,91.6,10.8,31.5,24.4,34.4,54.7,49.1,92.3,92.7,38.3,153.1,36.1,30.6,1.3833333333333333,68,1.1333333333333333,26.33333333333333,81.66666666666667,143.83333333333334,-0.8333333333333334
2022-07-01 13:00:00,35.6,31.8,21.6,21.3,8.8,97.3,4.6,9.3,26.2,20.9,17.5,13.5,32.0,26.1,40.5,169.6,36.3,31.0,1.2833333333333334,64,0.8666666666666667,25.33333333333333,87.5,134.16666666666666,-0.9
2022-07-01 14:00:00,108.1,31.2,18.7,19.1,25.7,86.5,10.2,29.3,23.0,32.0,50.4,45.4,85.7,85.3,35.5,115.6,36.1,31.2,1.181168831168831,64,0.7487012987012988,24.837662337662337,90.0,128.97402597402598,-0.9324675324675324
2022-07-01 15:00:00,89.5,28.9,16.2,16.9,24.2,81.3,9.6,27.0,21.2,29.5,46.1,41.8,78.2,79.1,33.2,153.5,38.9,32.5,1.135064935064935,63,0.6162337662337662,24.162337662337663,90.81168831168831,122.94805194805195,-0.9675324675324676
2022-07-01 16:00:00,58.9,23.7,12.1,13.5,20.7,67.3,8.2,22.2,17.3,23.6,38.1,35.0,64.9,59.3,28.1,127.8,37.9,32.4,1.051923076923077,58,0.5240384615384616,23.240384615384617,92.40384615384616,118.92307692307692,-0.9519230769230768
2022-07-01 17:00:00,47.1,15.8,6.4,9.0,13.8,42.6,6.0,16.0,12.6,14.6,27.1,24.6,46.1,46.2,19.7,28.3,35.0,32.3,1.1771689497716895,57,0.6228310502283105,23.0,94.5662100456621,121.91324200913242,-1.0
2022-07-01 18:00:00,19.9,7.0,1.4,4.5,6.4,22.7,3.2,8.7,6.8,7.4,14.2,12.1,24.2,24.9,10.6,45.2,31.6,31.7,1.1771689497716895,54,0.5315068493150685,23.0,95.0,117.80365296803652,-1.0228310502283104
2022-07-01 19:00:00,0.3,0.8,0.0,0.8,1.0,3.1,0.7,1.9,1.4,1.5,3.4,2.2,2.2,5.4,2.3,1.5,29.0,30.3,1.282648401826484,61,0.5,22.228310502283104,95.0,112.89041095890413,-1.1598173515981736
2022-07-01 20:00:00,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,28.9,1.2137339055793992,62,0.2562231759656652,22.0,95.0,103.54077253218884,-1.1068669527896997
2022-07-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,27.4,1.192274678111588,67,-0.015450643776824,22.0,95.0,89.09871244635193,-1.121030042918455
2022-07-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,27.1,1.1854077253218884,73,-0.1583690987124463,24.0,90.0,81.37339055793991,-1.1141630901287554
2022-07-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,26.8,1.36,76,-0.34,25.4,85.0,75.8,-1.16
2022-07-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,25.9,1.38,79,-0.26,27.6,76.0,81.8,-1.14
2022-07-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,25.2,1.44,85,-0.02,29.6,65.0,91.8,-1.28
2022-07-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3,24.6,1.6666666666666667,87,0.3074074074074074,30.62962962962963,57.77777777777778,103.66666666666669,-1.5074074074074073
