시간,축구장_시간당발전량,학생회관_시간당발전량,중앙창고_시간당발전량,학사과정_시간당발전량,다산빌딩_시간당발전량,시설관리동_시간당발전량,대학C동_시간당발전량,동물실험동_시간당발전량,중앙도서관_시간당발전량,LG도서관_시간당발전량,신재생에너지동_시간당발전량,삼성환경동_시간당발전량,중앙연구기기센터_시간당발전량,산업협력관_시간당발전량,기숙사 B동_시간당발전량,자연과학동_시간당발전량
2022-07-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01 06:00:00,0.0,0.7,0.4,0.0,0.1,0.6,0.4,0.7,0.0,0.5,1.1,0.0,0.4,2.0,0.7,0.0
2022-07-01 07:00:00,5.3,5.8,5.0,3.2,0.8,3.8,0.7,2.1,1.6,1.7,5.5,3.0,5.2,6.0,2.5,7.2
2022-07-01 08:00:00,33.3,14.3,11.2,5.7,5.1,23.5,3.0,3.6,6.8,6.6,17.2,13.3,24.5,25.1,8.0,32.2
2022-07-01 09:00:00,33.0,23.7,18.6,10.3,16.1,56.0,3.6,9.0,16.4,21.1,37.7,32.4,50.2,43.3,14.9,77.0
2022-07-01 10:00:00,82.8,27.8,18.9,16.7,18.6,67.1,8.0,22.9,17.9,24.7,40.5,35.4,65.8,66.9,28.4,121.0
2022-07-01 11:00:00,107.6,32.9,21.3,13.5,24.1,85.6,10.6,24.7,22.9,32.2,20.5,45.7,18.7,18.5,18.3,150.2
2022-07-01 12:00:00,123.4,34.6,21.6,21.2,26.6,91.6,10.8,31.5,24.4,34.4,54.7,49.1,92.3,92.7,38.3,153.1
2022-07-01 13:00:00,35.6,31.8,21.6,21.3,8.8,97.3,4.6,9.3,26.2,20.9,17.5,13.5,32.0,26.1,40.5,169.6
2022-07-01 14:00:00,108.1,31.2,18.7,19.1,25.7,86.5,10.2,29.3,23.0,32.0,50.4,45.4,85.7,85.3,35.5,115.6
2022-07-01 15:00:00,89.5,28.9,16.2,16.9,24.2,81.3,9.6,27.0,21.2,29.5,46.1,41.8,78.2,79.1,33.2,153.5
2022-07-01 16:00:00,58.9,23.7,12.1,13.5,20.7,67.3,8.2,22.2,17.3,23.6,38.1,35.0,64.9,59.3,28.1,127.8
