,load
0,5347.534830003977
1,5259.453568994999
2,5291.002154827118
3,5174.550102502108
4,5092.502077370882
5,5127.542300462723
6,5189.5241875350475
7,5342.551109731197
8,5800.538716495037
9,6189.874358035624
10,6111.349668473005
11,6103.878526972607
12,5874.158350661397
13,5876.0618573874235
14,5959.399774551392
15,5840.383153647184
16,5874.966729700565
17,5686.29411226511
18,5515.3681559972465
19,5479.758655689657
20,5363.504408442881
21,5369.034005690366
22,5281.250307837501
23,5308.535831902176
